Month,Geothermal Energy Consumed by the Residential Sector,Solar Energy Consumed by the Residential Sector,Wood Energy Consumed by the Residential Sector,Total Renewable Energy Consumed by the Residential Sector,Hydroelectric Power Consumed by the Commercial Sector,Geothermal Energy Consumed by the Commercial Sector,Solar Energy Consumed by the Commercial Sector,Wind Energy Consumed by the Commercial Sector,Wood Energy Consumed by the Commercial Sector,Waste Energy Consumed by the Commercial Sector,"Fuel Ethanol, Excluding Denaturant, Consumed by the Commercial Sector",Biomass Energy Consumed by the Commercial Sector,Total Renewable Energy Consumed by the Commercial Sector,Hydroelectric Power Consumed by the Industrial Sector,Geothermal Energy Consumed by the Industrial Sector,Solar Energy Consumed by the Industrial Sector,Wind Energy Consumed by the Industrial Sector,Wood Energy Consumed by the Industrial Sector,Waste Energy Consumed by the Industrial Sector,"Fuel Ethanol, Excluding Denaturant, Consumed by the Industrial Sector",Biomass Losses and Co-products in the Industrial Sector,Biomass Energy Consumed by the Industrial Sector,Total Renewable Energy Consumed by the Industrial Sector,"Fuel Ethanol, Excluding Denaturant, Consumed by the Transportation Sector",Biodiesel Consumed by the Transportation Sector,Biomass Energy Consumed by the Transportation Sector,Conventional Hydroelectric Power Consumed by the Electric Power Sector,Geothermal Energy Consumed by the Electric Power Sector,Solar Energy Consumed by the Electric Power Sector,Wind Energy Consumed by the Electric Power Sector,Wood Energy Consumed by the Electric Power Sector,Waste Energy Consumed by the Electric Power Sector,Biomass Energy Consumed by the Electric Power Sector,Total Renewable Energy Consumed by the Electric Power Sector
1975 December,Not Available,Not Available,36.131,36.131,Not Available,Not Available,Not Available,Not Available,0.685,Not Available,Not Available,0.685,0.685,2.668,Not Available,Not Available,Not Available,90.305,Not Available,Not Available,Not Available,90.305,92.973,Not Available,Not Available,Not Available,270.322,3.429,Not Available,Not Available,0.018,0.138,0.156,273.907
1976 January,Not Available,Not Available,40.794,40.794,Not Available,Not Available,Not Available,Not Available,0.771,Not Available,Not Available,0.771,0.771,2.9,Not Available,Not Available,Not Available,103.323,Not Available,Not Available,Not Available,103.323,106.223,Not Available,Not Available,Not Available,270.423,3.403,Not Available,Not Available,0.022,0.14,0.162,273.988
1976 February,Not Available,Not Available,38.162,38.162,Not Available,Not Available,Not Available,Not Available,0.721,Not Available,Not Available,0.721,0.721,2.926,Not Available,Not Available,Not Available,96.657,Not Available,Not Available,Not Available,96.657,99.583,Not Available,Not Available,Not Available,254.351,3.2,Not Available,Not Available,0.019,0.136,0.155,257.706
1976 March,Not Available,Not Available,40.794,40.794,Not Available,Not Available,Not Available,Not Available,0.771,Not Available,Not Available,0.771,0.771,3.032,Not Available,Not Available,Not Available,103.323,Not Available,Not Available,Not Available,103.323,106.355,Not Available,Not Available,Not Available,275.535,3.426,Not Available,Not Available,0.026,0.137,0.163,279.124
1976 April,Not Available,Not Available,39.478,39.478,Not Available,Not Available,Not Available,Not Available,0.746,Not Available,Not Available,0.746,0.746,3.112,Not Available,Not Available,Not Available,99.99,Not Available,Not Available,Not Available,99.99,103.102,Not Available,Not Available,Not Available,250.37,3.086,Not Available,Not Available,0.023,0.126,0.149,253.605
1976 May,Not Available,Not Available,40.794,40.794,Not Available,Not Available,Not Available,Not Available,0.771,Not Available,Not Available,0.771,0.771,3.053,Not Available,Not Available,Not Available,103.323,Not Available,Not Available,Not Available,103.323,106.376,Not Available,Not Available,Not Available,264.678,2.949,Not Available,Not Available,0.025,0.134,0.159,267.787
1976 June,Not Available,Not Available,39.478,39.478,Not Available,Not Available,Not Available,Not Available,0.746,Not Available,Not Available,0.746,0.746,2.924,Not Available,Not Available,Not Available,99.99,Not Available,Not Available,Not Available,99.99,102.914,Not Available,Not Available,Not Available,265.163,3.063,Not Available,Not Available,0.03,0.161,0.191,268.417
1976 July,Not Available,Not Available,40.794,40.794,Not Available,Not Available,Not Available,Not Available,0.771,Not Available,Not Available,0.771,0.771,2.666,Not Available,Not Available,Not Available,103.323,Not Available,Not Available,Not Available,103.323,105.989,Not Available,Not Available,Not Available,270.36,3.311,Not Available,Not Available,0.01,0.19,0.2,273.871
1976 August,Not Available,Not Available,40.794,40.794,Not Available,Not Available,Not Available,Not Available,0.771,Not Available,Not Available,0.771,0.771,2.44,Not Available,Not Available,Not Available,103.323,Not Available,Not Available,Not Available,103.323,105.763,Not Available,Not Available,Not Available,247.319,3.26,Not Available,Not Available,0.031,0.192,0.223,250.802
1976 September,Not Available,Not Available,39.478,39.478,Not Available,Not Available,Not Available,Not Available,0.746,Not Available,Not Available,0.746,0.746,2.098,Not Available,Not Available,Not Available,99.99,Not Available,Not Available,Not Available,99.99,102.088,Not Available,Not Available,Not Available,211.278,3.173,Not Available,Not Available,0.057,0.165,0.222,214.672
